layer,q_head,chosen_budget,best_l2
35,7,DENSE,nan
35,8,DENSE,nan
35,9,DENSE,nan
35,10,DENSE,nan
35,11,DENSE,nan
35,12,DENSE,nan
35,13,DENSE,nan
35,14,DENSE,nan
35,15,DENSE,nan
36,0,DENSE,nan
36,1,DENSE,nan
36,2,DENSE,nan
36,3,DENSE,nan
36,4,DENSE,nan
36,5,DENSE,nan
36,6,DENSE,nan
36,7,DENSE,nan
36,8,DENSE,nan
36,9,DENSE,nan
36,10,DENSE,nan
36,11,DENSE,nan
36,12,DENSE,nan
36,13,DENSE,nan
36,14,DENSE,nan
36,15,DENSE,nan
37,0,DENSE,nan
37,1,DENSE,nan
37,2,DENSE,nan
37,3,DENSE,nan
37,4,DENSE,nan
37,5,DENSE,nan
37,6,DENSE,nan
37,7,DENSE,nan
37,8,DENSE,nan
37,9,DENSE,nan
37,10,DENSE,nan
37,11,DENSE,nan
37,12,DENSE,nan
37,13,DENSE,nan
37,14,DENSE,nan
37,15,DENSE,nan
38,0,DENSE,nan
38,1,DENSE,nan
38,2,DENSE,nan
38,3,DENSE,nan
38,4,DENSE,nan
38,5,DENSE,nan
38,6,DENSE,nan
38,7,DENSE,nan
38,8,DENSE,nan
38,9,DENSE,nan
38,10,DENSE,nan
38,11,DENSE,nan
38,12,DENSE,nan
38,13,DENSE,nan
38,14,DENSE,nan
38,15,DENSE,nan
39,0,DENSE,nan
39,1,DENSE,nan
39,2,DENSE,nan
39,3,DENSE,nan
39,4,DENSE,nan
39,5,DENSE,nan
39,6,DENSE,nan
39,7,DENSE,nan
39,8,DENSE,nan
39,9,DENSE,nan
39,10,DENSE,nan
39,11,DENSE,nan
39,12,DENSE,nan
39,13,DENSE,nan
39,14,DENSE,nan
39,15,DENSE,nan
40,0,DENSE,nan
40,1,DENSE,nan
40,2,DENSE,nan
40,3,DENSE,nan
40,4,DENSE,nan
40,5,DENSE,nan
40,6,DENSE,nan
40,7,DENSE,nan
40,8,DENSE,nan
40,9,DENSE,nan
40,10,DENSE,nan
40,11,DENSE,nan
40,12,DENSE,nan
40,13,DENSE,nan
40,14,DENSE,nan
40,15,DENSE,nan
41,0,DENSE,nan
